Sample	posterior	likelihood	prior	size_cluster_0	size_cluster_1	size_cluster_2	w_cluster_f1	w_conf_1_f1	w_conf_2_f1	cluster_0_f1_mu	cluster_0_f1_sigma	cluster_1_f1_mu	cluster_1_f1_sigma	cluster_2_f1_mu	cluster_2_f1_sigma	conf_1_a_f1_mu	conf_1_a_f1_sigma	conf_1_b_f1_mu	conf_1_b_f1_sigma	conf_1_c_f1_mu	conf_1_c_f1_sigma	conf_2_d_f1_mu	conf_2_d_f1_sigma	conf_2_e_f1_mu	conf_2_e_f1_sigma	source_clusters_f1	source_conf_1_f1	source_conf_2_f1	w_cluster_f2	w_conf_1_f2	w_conf_2_f2	cluster_0_f2_mu	cluster_0_f2_sigma	cluster_1_f2_mu	cluster_1_f2_sigma	cluster_2_f2_mu	cluster_2_f2_sigma	conf_1_a_f2_mu	conf_1_a_f2_sigma	conf_1_b_f2_mu	conf_1_b_f2_sigma	conf_1_c_f2_mu	conf_1_c_f2_sigma	conf_2_d_f2_mu	conf_2_d_f2_sigma	conf_2_e_f2_mu	conf_2_e_f2_sigma	source_clusters_f2	source_conf_1_f2	source_conf_2_f2	w_cluster_f3	w_conf_1_f3	w_conf_2_f3	cluster_0_f3_mu	cluster_0_f3_sigma	cluster_1_f3_mu	cluster_1_f3_sigma	cluster_2_f3_mu	cluster_2_f3_sigma	conf_1_a_f3_mu	conf_1_a_f3_sigma	conf_1_b_f3_mu	conf_1_b_f3_sigma	conf_1_c_f3_mu	conf_1_c_f3_sigma	conf_2_d_f3_mu	conf_2_d_f3_sigma	conf_2_e_f3_mu	conf_2_e_f3_sigma	source_clusters_f3	source_conf_1_f3	source_conf_2_f3	w_cluster_f4	w_conf_1_f4	w_conf_2_f4	cluster_0_f4_mu	cluster_0_f4_sigma	cluster_1_f4_mu	cluster_1_f4_sigma	cluster_2_f4_mu	cluster_2_f4_sigma	conf_1_a_f4_mu	conf_1_a_f4_sigma	conf_1_b_f4_mu	conf_1_b_f4_sigma	conf_1_c_f4_mu	conf_1_c_f4_sigma	conf_2_d_f4_mu	conf_2_d_f4_sigma	conf_2_e_f4_mu	conf_2_e_f4_sigma	source_clusters_f4	source_conf_1_f4	source_conf_2_f4	w_cluster_f5	w_conf_1_f5	w_conf_2_f5	cluster_0_f5_mu	cluster_0_f5_sigma	cluster_1_f5_mu	cluster_1_f5_sigma	cluster_2_f5_mu	cluster_2_f5_sigma	conf_1_a_f5_mu	conf_1_a_f5_sigma	conf_1_b_f5_mu	conf_1_b_f5_sigma	conf_1_c_f5_mu	conf_1_c_f5_sigma	conf_2_d_f5_mu	conf_2_d_f5_sigma	conf_2_e_f5_mu	conf_2_e_f5_sigma	source_clusters_f5	source_conf_1_f5	source_conf_2_f5	w_cluster_f6	w_conf_1_f6	w_conf_2_f6	cluster_0_f6_mu	cluster_0_f6_sigma	cluster_1_f6_mu	cluster_1_f6_sigma	cluster_2_f6_mu	cluster_2_f6_sigma	conf_1_a_f6_mu	conf_1_a_f6_sigma	conf_1_b_f6_mu	conf_1_b_f6_sigma	conf_1_c_f6_mu	conf_1_c_f6_sigma	conf_2_d_f6_mu	conf_2_d_f6_sigma	conf_2_e_f6_mu	conf_2_e_f6_sigma	source_clusters_f6	source_conf_1_f6	source_conf_2_f6	w_cluster_f7	w_conf_1_f7	w_conf_2_f7	cluster_0_f7_mu	cluster_0_f7_sigma	cluster_1_f7_mu	cluster_1_f7_sigma	cluster_2_f7_mu	cluster_2_f7_sigma	conf_1_a_f7_mu	conf_1_a_f7_sigma	conf_1_b_f7_mu	conf_1_b_f7_sigma	conf_1_c_f7_mu	conf_1_c_f7_sigma	conf_2_d_f7_mu	conf_2_d_f7_sigma	conf_2_e_f7_mu	conf_2_e_f7_sigma	source_clusters_f7	source_conf_1_f7	source_conf_2_f7	w_cluster_f8	w_conf_1_f8	w_conf_2_f8	cluster_0_f8_mu	cluster_0_f8_sigma	cluster_1_f8_mu	cluster_1_f8_sigma	cluster_2_f8_mu	cluster_2_f8_sigma	conf_1_a_f8_mu	conf_1_a_f8_sigma	conf_1_b_f8_mu	conf_1_b_f8_sigma	conf_1_c_f8_mu	conf_1_c_f8_sigma	conf_2_d_f8_mu	conf_2_d_f8_sigma	conf_2_e_f8_mu	conf_2_e_f8_sigma	source_clusters_f8	source_conf_1_f8	source_conf_2_f8	w_cluster_f9	w_conf_1_f9	w_conf_2_f9	cluster_0_f9_mu	cluster_0_f9_sigma	cluster_1_f9_mu	cluster_1_f9_sigma	cluster_2_f9_mu	cluster_2_f9_sigma	conf_1_a_f9_mu	conf_1_a_f9_sigma	conf_1_b_f9_mu	conf_1_b_f9_sigma	conf_1_c_f9_mu	conf_1_c_f9_sigma	conf_2_d_f9_mu	conf_2_d_f9_sigma	conf_2_e_f9_mu	conf_2_e_f9_sigma	source_clusters_f9	source_conf_1_f9	source_conf_2_f9	w_cluster_f10	w_conf_1_f10	w_conf_2_f10	cluster_0_f10_mu	cluster_0_f10_sigma	cluster_1_f10_mu	cluster_1_f10_sigma	cluster_2_f10_mu	cluster_2_f10_sigma	conf_1_a_f10_mu	conf_1_a_f10_sigma	conf_1_b_f10_mu	conf_1_b_f10_sigma	conf_1_c_f10_mu	conf_1_c_f10_sigma	conf_2_d_f10_mu	conf_2_d_f10_sigma	conf_2_e_f10_mu	conf_2_e_f10_sigma	source_clusters_f10	source_conf_1_f10	source_conf_2_f10
200	-10001.3558773	-9416.79085709	-584.565020196	8	3	3	0.286955877683	0.682557523079	0.0304865992375	0.0228320845057	969.245077208	0.342559936149	969.245077208	0.341774563015	969.245077208	333.300834291	969.245077208	0.470105415645	969.245077208	-1211.70235665	969.245077208	-0.250813664367	969.245077208	-0.649975685001	969.245077208	0.05	0.91	0.04	0.314476405145	0.364038791044	0.32148480381	0.56123498464	371.82896487	-0.764635030758	371.82896487	777.184757442	371.82896487	89.4799468518	371.82896487	-50.9782434976	371.82896487	0.672124817045	371.82896487	0.240375059513	371.82896487	-0.304506279365	371.82896487	0.06	0.42	0.52	0.410627441816	0.000306796849328	0.589065761335	-0.29490896563	444.773956974	1230.2337681	444.773956974	461.649932647	444.773956974	0.546108242887	444.773956974	1230.2337681	444.773956974	305.848997998	444.773956974	499.384484676	444.773956974	-0.291528122097	444.773956974	0.04	0	0.96	0.591351351682	0.244429332484	0.164219315834	0.200880633047	742.190658342	-56.1797093559	742.190658342	-1.02926139477	742.190658342	0.259929950663	742.190658342	-0.253687311992	742.190658342	0.738652576954	742.190658342	0.566710213118	742.190658342	1.2171127439	742.190658342	0.09	0.51	0.4	0.609988588845	0.102773757927	0.287237653227	-0.190236580281	88.4745922296	-0.569318524584	88.4745922296	-0.433246408178	88.4745922296	0.329152272495	88.4745922296	-0.202040316137	88.4745922296	-1.23832032411	88.4745922296	-0.0274024648659	88.4745922296	0.25354760805	88.4745922296	0.1	0.24	0.66	0.3150214032	0.194425019387	0.490553577414	-0.351450642722	1160.59919596	-0.773842788795	1160.59919596	613.14010737	1160.59919596	-176.207335526	1160.59919596	-2289.25997482	1160.59919596	-0.329869966478	1160.59919596	0.355673815346	1160.59919596	-1.0596603642	1160.59919596	0.04	0.28	0.68	0.586538333952	0.413300900997	0.000160765050879	0.529192776253	133.601203383	-0.830014527265	133.601203383	0.491705999711	133.601203383	-0.48425054214	133.601203383	-67.2915798424	133.601203383	-688.226785552	133.601203383	-0.277001879415	133.601203383	-0.18249194723	133.601203383	0.07	0.93	0	0.270277796879	0.312981460279	0.416740742842	0.611689346049	562.863092755	0.205597845094	562.863092755	-0.281855576183	562.863092755	0.502532056305	562.863092755	-142.919403227	562.863092755	430.997544678	562.863092755	0.00385996163033	562.863092755	0.184289462031	562.863092755	0.05	0.41	0.54	0.631450394916	0.18493671413	0.183612890955	0.68326288077	470.234990089	-1166.33966835	470.234990089	0.147767575701	470.234990089	-1166.33966835	470.234990089	0.109241652889	470.234990089	0.0307024390825	470.234990089	-0.416829310359	470.234990089	0.0789930046167	470.234990089	0.08	0.42	0.5	0.322576864196	0.214482257166	0.462940878638	0.846407652159	606.541983775	532.336448396	606.541983775	0.104182932823	606.541983775	-0.242854925852	606.541983775	188.981130193	606.541983775	-0.0629426696443	606.541983775	-1.01011690287	606.541983775	-0.0520510957406	606.541983775	0.05	0.29	0.66
300	-9981.37181415	-9410.40641596	-570.965398192	7	2	3	0.404415691854	0.565134214847	0.0304500932992	890.659996418	969.245077208	-0.579833542348	969.245077208	-0.744138995504	969.245077208	333.300834291	969.245077208	890.565815356	969.245077208	-1211.70235665	969.245077208	-1211.70235665	969.245077208	0.347530154601	969.245077208	0.04	0.92	0.04	0.587432543092	0.177809260995	0.234758195913	-0.345458163589	371.82896487	-0.0333221243422	371.82896487	777.184757442	371.82896487	0.00472701864829	371.82896487	-51.3579518348	371.82896487	2.17269856842	371.82896487	0.311707041803	371.82896487	-0.15811901681	371.82896487	0.06	0.42	0.52	0.285482724489	0.001942235036	0.712575040475	-0.498042393059	444.773956974	1230.2337681	444.773956974	461.649932647	444.773956974	1.00994810188	444.773956974	1230.2337681	444.773956974	305.848997998	444.773956974	499.384484676	444.773956974	-0.307651737062	444.773956974	0.04	0	0.96	0.576360981109	0.291681323453	0.131957695438	-0.373013134709	742.190658342	-0.0108687349677	742.190658342	-0.33038587451	742.190658342	0.0550727107549	742.190658342	-0.101142493768	742.190658342	207.079407958	742.190658342	-0.145617009567	742.190658342	0.441080196801	742.190658342	0.08	0.52	0.4	0.398399775878	0.185003343917	0.416596880205	-0.87251151554	88.4745922296	0.429782080717	88.4745922296	-0.372851499875	88.4745922296	-1.52271943781	88.4745922296	-118.616918743	88.4745922296	-255.412391328	88.4745922296	-0.0313679062736	88.4745922296	0.400314250409	88.4745922296	0.08	0.24	0.68	0.288382129583	0.19701110884	0.514606761577	-0.886361413954	1160.59919596	0.303013546162	1160.59919596	613.14010737	1160.59919596	0.115565306124	1160.59919596	-2289.25997482	1160.59919596	613.14010737	1160.59919596	0.436918442551	1160.59919596	-2289.25997482	1160.59919596	0.04	0.28	0.68	0.55889946194	0.440939773009	0.000160765050879	-0.197837059068	133.601203383	0.527088592255	133.601203383	1.05054871106	133.601203383	-1.05058650025	133.601203383	-66.8685130966	133.601203383	-0.296391830156	133.601203383	0.340605802943	133.601203383	-67.5607458374	133.601203383	0.06	0.94	0	0.141511106091	0.394433270312	0.464055623597	-1249.82832023	562.863092755	-1267.20568576	562.863092755	-0.766998546023	562.863092755	-8.20777900598	562.863092755	0.168002234034	562.863092755	-0.10569454785	562.863092755	-8.18901843024	562.863092755	0.217148859833	562.863092755	0.02	0.43	0.55	0.649388073334	0.167849927	0.182761999665	0.821634376299	470.234990089	-1166.33966835	470.234990089	-0.517722837108	470.234990089	0.0385745382325	470.234990089	0.651321676898	470.234990089	-0.178020478702	470.234990089	0.144676849737	470.234990089	-0.217333323774	470.234990089	0.08	0.43	0.49	0.302229499017	0.161993986835	0.535776514148	-0.191007262162	606.541983775	532.336448396	606.541983775	0.418902551773	606.541983775	0.011934046086	606.541983775	188.388559846	606.541983775	0.136349943629	606.541983775	-0.218474997005	606.541983775	0.792847714997	606.541983775	0.05	0.28	0.67
400	-10013.4535566	-9378.89053384	-634.563022785	7	11	3	0.290590990562	0.682732781013	0.0266762284246	890.421477929	969.245077208	-1.00759579346	969.245077208	0.159381588419	969.245077208	-0.101283015872	969.245077208	0.790459446294	969.245077208	-1211.70235665	969.245077208	0.409133908653	969.245077208	-0.514973418494	969.245077208	0.07	0.89	0.04	0.523648737338	0.20574910592	0.270602156743	-0.639558765272	371.82896487	-0.330116440765	371.82896487	777.184757442	371.82896487	-0.297275328284	371.82896487	-0.522451940395	371.82896487	0.0678871594444	371.82896487	0.116085544753	371.82896487	0.668329904337	371.82896487	0.1	0.44	0.46	0.447487334416	0.00621609273749	0.546296572847	0.000720797945265	444.773956974	-0.187421448511	444.773956974	461.649932647	444.773956974	-0.532320831299	444.773956974	0.939908091363	444.773956974	-0.0378496282682	444.773956974	0.971212085746	444.773956974	0.527578662178	444.773956974	0.09	0	0.91	0.405738204211	0.399533879925	0.194727915864	0.62017257702	742.190658342	0.307285230649	742.190658342	0.557337033285	742.190658342	-0.522673911466	742.190658342	-0.276212367944	742.190658342	0.326022047491	742.190658342	0.311638200292	742.190658342	0.279984101828	742.190658342	0.11	0.5	0.39	0.390440756583	0.123609820884	0.485949422533	0.153092149668	88.4745922296	0.134095471395	88.4745922296	0.514769996198	88.4745922296	-1.15992812332	88.4745922296	-118.854728464	88.4745922296	-4.8156662643	88.4745922296	-0.655574191119	88.4745922296	0.861128488772	88.4745922296	0.1	0.2	0.7	0.196647374737	0.245809732919	0.557542892344	-0.766902398123	1160.59919596	0.295461553183	1160.59919596	613.14010737	1160.59919596	-176.207335526	1160.59919596	-2289.25997482	1160.59919596	613.14010737	1160.59919596	-0.20664849674	1160.59919596	-2289.25997482	1160.59919596	0.03	0.27	0.7	0.54721805644	0.45262117851	0.000160765050879	-0.312133784291	133.601203383	0.263324058829	133.601203383	-0.100667002475	133.601203383	0.344448956903	133.601203383	-0.0307159785387	133.601203383	-0.900497436555	133.601203383	-0.719119029387	133.601203383	-20.9703162564	133.601203383	0.11	0.89	0	0.359388704248	0.259220178509	0.381391117243	-0.179761657229	562.863092755	-0.161270085822	562.863092755	-0.195327580384	562.863092755	-17.0375808728	562.863092755	-182.697741736	562.863092755	0.278183169608	562.863092755	0.833110955572	562.863092755	388.85907697	562.863092755	0.06	0.39	0.55	0.631875671345	0.186187530814	0.181936797842	0.0726081741388	470.234990089	0.721272575692	470.234990089	0.681243632322	470.234990089	-1166.33966835	470.234990089	0.0698126688983	470.234990089	0.850007356788	470.234990089	0.159889002914	470.234990089	-0.119062916397	470.234990089	0.11	0.43	0.46	0.505540957254	0.12347665264	0.370982390106	-0.895237857318	606.541983775	0.120603656933	606.541983775	-0.557858798227	606.541983775	-0.698636888243	606.541983775	1.63297912955	606.541983775	-0.41935229467	606.541983775	0.0481240709747	606.541983775	0.784888068964	606.541983775	0.12	0.27	0.61
500	-10022.424873	-9364.05500807	-658.369864948	10	11	3	0.30729751421	0.65365534924	0.0390471365507	890.657330113	969.245077208	-0.888366066553	969.245077208	0.157730982813	969.245077208	-0.146300856165	969.245077208	0.309184581672	969.245077208	-1211.70235665	969.245077208	-0.785219461955	969.245077208	-0.00102204176734	969.245077208	0.07	0.89	0.04	0.269070506402	0.386738194357	0.344191299241	-1.40395358704	371.82896487	0.25377933347	371.82896487	777.184757442	371.82896487	0.400160866296	371.82896487	-0.204903717172	371.82896487	0.75199032695	371.82896487	-0.408614370245	371.82896487	0.0981879247217	371.82896487	0.11	0.43	0.46	0.514663301847	0.010336186472	0.475000511681	0.274588130464	444.773956974	-0.0846451912566	444.773956974	461.649932647	444.773956974	0.640359853861	444.773956974	0.267162606532	444.773956974	0.147119868532	444.773956974	0.333293387474	444.773956974	-0.0467643926516	444.773956974	0.11	0	0.89	0.480043173016	0.266342251773	0.253614575211	-0.529067943111	742.190658342	-0.0021734064156	742.190658342	0.221668643593	742.190658342	-0.0111230282783	742.190658342	0.109563340491	742.190658342	-0.0813112660719	742.190658342	0.936581125924	742.190658342	0.516268741884	742.190658342	0.13	0.47	0.4	0.676371992158	0.0841161987901	0.239511809052	-0.294484479541	88.4745922296	-0.202428857091	88.4745922296	-0.207869234113	88.4745922296	-0.183402117496	88.4745922296	-118.41242984	88.4745922296	-5.40515807256	88.4745922296	-0.726448946127	88.4745922296	-0.348436729207	88.4745922296	0.12	0.2	0.68	0.207561491481	0.211472303446	0.580966205073	0.237233158906	1160.59919596	0.12671261539	1160.59919596	613.14010737	1160.59919596	-176.207335526	1160.59919596	-2289.25997482	1160.59919596	1.15928420048	1160.59919596	-0.0399361606946	1160.59919596	0.759833914694	1160.59919596	0.04	0.27	0.69	0.353914439736	0.645924795213	0.000160765050879	-0.40087793189	133.601203383	-0.446010472143	133.601203383	0.141971638985	133.601203383	-0.482946395909	133.601203383	0.0363548638648	133.601203383	-0.0517068896898	133.601203383	-0.842749313376	133.601203383	-32.6565152027	133.601203383	0.14	0.86	0	0.237791300515	0.302272222536	0.459936476949	0.350588549747	562.863092755	0.311542517545	562.863092755	0.242539922531	562.863092755	-0.0299099966584	562.863092755	-182.697741736	562.863092755	-1.12584002691	562.863092755	-0.553682075422	562.863092755	0.145292009603	562.863092755	0.08	0.39	0.53	0.594859522492	0.208582070983	0.196558406525	-0.16994434532	470.234990089	-1.40390482869	470.234990089	0.287846124318	470.234990089	0.335055756124	470.234990089	-0.64259014708	470.234990089	-0.747008849297	470.234990089	0.661295697269	470.234990089	0.0902583694233	470.234990089	0.14	0.43	0.43	0.461409378266	0.189257974738	0.349332646996	-1.45732540537	606.541983775	-0.95201618638	606.541983775	-0.00077557442084	606.541983775	-0.0698235994118	606.541983775	1.08293332106	606.541983775	-0.390991590041	606.541983775	0.240169282616	606.541983775	-0.361013309041	606.541983775	0.14	0.27	0.59
600	-10035.9141384	-9317.05740406	-718.856734385	14	15	4	0.140084506002	0.845943624956	0.0139718690429	-0.219575302516	969.245077208	-0.500637498084	969.245077208	-0.513737915322	969.245077208	0.805057691179	969.245077208	0.405741785462	969.245077208	0.574489700536	969.245077208	-0.199629054689	969.245077208	-0.895506595555	969.245077208	0.1	0.86	0.04	0.455472929593	0.315904264622	0.228622805784	1.62478917233	371.82896487	0.288233447563	371.82896487	777.184757442	371.82896487	89.4799468518	371.82896487	0.292410498608	371.82896487	1.32830015989	371.82896487	-0.175293713189	371.82896487	0.56336145952	371.82896487	0.11	0.43	0.46	0.485008847463	0.0100974256437	0.504893726894	-0.868382646563	444.773956974	-0.712853987933	444.773956974	0.579266952683	444.773956974	0.483351298497	444.773956974	0.92267924227	444.773956974	-1.1655825263	444.773956974	-0.600032488661	444.773956974	0.372944509752	444.773956974	0.15	0	0.85	0.535023692635	0.24907434172	0.215901965645	-0.156277880456	742.190658342	-0.549285764138	742.190658342	0.154868566658	742.190658342	-0.000209264148044	742.190658342	0.747819419245	742.190658342	-0.152780499987	742.190658342	-0.364037083459	742.190658342	-0.95835327551	742.190658342	0.16	0.45	0.39	0.565599781097	0.0976814801695	0.336718738734	0.226035077257	88.4745922296	0.405915270396	88.4745922296	0.368688792817	88.4745922296	-1.17732314902	88.4745922296	-0.188572315675	88.4745922296	-2.5278140894	88.4745922296	-0.954189896794	88.4745922296	1.57438642705	88.4745922296	0.18	0.21	0.61	0.141563303507	0.248816640021	0.609620056473	0.0550458611987	1160.59919596	-1354.80012057	1160.59919596	613.14010737	1160.59919596	-176.207335526	1160.59919596	0.273992660478	1160.59919596	-0.599171794191	1160.59919596	1.01646423007	1160.59919596	-1.0121555774	1160.59919596	0.05	0.28	0.67	0.634277570106	0.362176442888	0.00354598700618	-0.737292349795	133.601203383	-0.277466946905	133.601203383	0.232784880935	133.601203383	-0.398717060502	133.601203383	0.103080397013	133.601203383	-0.172431546067	133.601203383	-0.732908693512	133.601203383	-1.75434251377	133.601203383	0.21	0.79	0	0.291731216072	0.34155932873	0.366709455198	-1.10075180844	562.863092755	-0.129383909428	562.863092755	-0.203594092399	562.863092755	1.13385109651	562.863092755	-0.12345635602	562.863092755	-0.0381267124023	562.863092755	-0.0377448620729	562.863092755	0.444510058606	562.863092755	0.11	0.34	0.55	0.516997513225	0.241699204982	0.241303281794	-0.243669133883	470.234990089	-0.516632674546	470.234990089	0.632260558046	470.234990089	0.322581772328	470.234990089	0.192396822522	470.234990089	-0.196352886819	470.234990089	0.737908094449	470.234990089	-0.0183851945219	470.234990089	0.17	0.41	0.42	0.502244644154	0.128628279026	0.36912707682	-0.267955692999	606.541983775	0.570128435923	606.541983775	-0.819374757785	606.541983775	0.169621006298	606.541983775	0.387196951581	606.541983775	-0.070663045327	606.541983775	-0.410735614812	606.541983775	-0.883443130483	606.541983775	0.2	0.23	0.57
700	-10014.6042767	-9288.37529964	-726.228977048	19	20	2	0.237913174	0.721164307671	0.0409225183288	-0.517931746907	969.245077208	0.18930686208	969.245077208	-0.495896875732	969.245077208	-0.937706089118	969.245077208	0.367086364907	969.245077208	1.11537854466	969.245077208	-0.866104580062	969.245077208	0.0696799126042	969.245077208	0.07	0.89	0.04	0.372570125959	0.306563217912	0.320866656129	-0.126941985618	371.82896487	-0.451540045708	371.82896487	-0.0127876360197	371.82896487	-0.161801670238	371.82896487	-0.460264587361	371.82896487	1.22084645314	371.82896487	-0.191543520731	371.82896487	1.1300232383	371.82896487	0.15	0.37	0.48	0.489879697703	0.000892240290608	0.509228062007	-0.378233730861	444.773956974	0.217524482011	444.773956974	384.368479079	444.773956974	0.490452431438	444.773956974	2.22648446156	444.773956974	-0.716291540947	444.773956974	-0.905120905347	444.773956974	-0.0867866213606	444.773956974	0.18	0	0.82	0.487878137076	0.259052901515	0.253068961409	-0.305368038958	742.190658342	-0.516117747515	742.190658342	-161.257391261	742.190658342	0.840765548055	742.190658342	-0.381419878014	742.190658342	-0.157509976238	742.190658342	-0.317313994796	742.190658342	0.180121699234	742.190658342	0.16	0.47	0.37	0.655797110556	0.0782906591974	0.265912230246	-0.478176203654	88.4745922296	-0.426788136254	88.4745922296	0.404130299905	88.4745922296	-0.293632048119	88.4745922296	-0.0546540182547	88.4745922296	-2.88382096397	88.4745922296	-0.0905324453393	88.4745922296	0.27815056485	88.4745922296	0.28	0.14	0.58	0.0490503212303	0.254438581306	0.696511097463	-0.36734912251	1160.59919596	-1354.80012057	1160.59919596	0.650808333965	1160.59919596	-176.207335526	1160.59919596	0.0122560362024	1160.59919596	721.075050058	1160.59919596	-0.0839126642088	1160.59919596	0.282759019026	1160.59919596	0.04	0.22	0.74	0.639252697913	0.351706614955	0.00904068713168	0.146690429549	133.601203383	0.273402450827	133.601203383	0.0168950680208	133.601203383	-0.584912986505	133.601203383	0.0826809219398	133.601203383	-0.484131073219	133.601203383	-0.188103642293	133.601203383	-1.13001199321	133.601203383	0.31	0.69	0	0.305912641513	0.240351806757	0.45373555173	0.270934820151	562.863092755	0.947230792207	562.863092755	-0.0299968499039	562.863092755	-0.323361975344	562.863092755	-0.0291585028664	562.863092755	0.678632919291	562.863092755	-0.225569177717	562.863092755	-0.149377511117	562.863092755	0.17	0.26	0.57	0.61133455332	0.195790266053	0.192875180627	0.346717137231	470.234990089	-0.761805504923	470.234990089	-463.56404009	470.234990089	0.394084144418	470.234990089	0.330512445192	470.234990089	1.15850403964	470.234990089	0.436073154565	470.234990089	0.199883961481	470.234990089	0.22	0.39	0.39	0.67068583111	0.0869211083059	0.242393060584	0.0560082466351	606.541983775	-0.237042588097	606.541983775	-0.360867103171	606.541983775	-0.561079362651	606.541983775	-0.334715125703	606.541983775	0.337142420683	606.541983775	0.647461117665	606.541983775	-0.161747293711	606.541983775	0.23	0.23	0.54
800	-9991.37972404	-9274.97297566	-716.406748383	18	20	2	0.191923595805	0.755269968843	0.052806435352	-0.490943442259	969.245077208	0.0605183819833	969.245077208	0.443041406705	969.245077208	-1.75889723973	969.245077208	-0.033776999383	969.245077208	0.259111935302	969.245077208	0.620207067071	969.245077208	0.33643403567	969.245077208	0.07	0.9	0.03	0.441100700982	0.230835989486	0.328063309531	-0.297897978216	371.82896487	0.772368813517	371.82896487	0.169004871091	371.82896487	-0.0659977241635	371.82896487	-1.01200961489	371.82896487	1.7499246409	371.82896487	0.0195237249766	371.82896487	-0.535110633108	371.82896487	0.16	0.37	0.47	0.436472288932	0.000892240290608	0.562635470778	0.596010392576	444.773956974	0.13278927338	444.773956974	384.368479079	444.773956974	-0.0462464791504	444.773956974	1.21957321891	444.773956974	0.0398824049664	444.773956974	0.120411828385	444.773956974	-0.0238525968447	444.773956974	0.18	0	0.82	0.408484609226	0.315797992883	0.275717397891	-0.879065475156	742.190658342	0.210052839141	742.190658342	-161.257391261	742.190658342	0.520213448214	742.190658342	-1.0947209516	742.190658342	-0.0643331703222	742.190658342	-0.31693039364	742.190658342	-0.506436479973	742.190658342	0.15	0.48	0.37	0.59659855847	0.0888035200282	0.314597921502	0.150185483275	88.4745922296	-0.217376428749	88.4745922296	0.71854200324	88.4745922296	-0.902308834896	88.4745922296	0.226559655755	88.4745922296	-2.9133697156	88.4745922296	-0.448476379615	88.4745922296	-0.364239428035	88.4745922296	0.25	0.16	0.59	0.152275586449	0.181453742838	0.666270670713	-0.211789397424	1160.59919596	-1354.80012057	1160.59919596	-0.708996343048	1160.59919596	-176.207335526	1160.59919596	-0.219794421054	1160.59919596	721.075050058	1160.59919596	-0.404668913375	1160.59919596	0.676384617062	1160.59919596	0.04	0.2	0.76	0.715990693166	0.280291334497	0.00371797233742	0.172389542035	133.601203383	-0.72237108964	133.601203383	-0.193304348345	133.601203383	0.0155278887857	133.601203383	-0.500054834326	133.601203383	-0.555990716727	133.601203383	-1.0130820684	133.601203383	-1.28345638025	133.601203383	0.31	0.69	0	0.42675356875	0.176317204013	0.396929227237	0.283667205424	562.863092755	0.643656031069	562.863092755	-0.463299596125	562.863092755	-0.850839307736	562.863092755	0.088671297386	562.863092755	-0.111631798407	562.863092755	0.258425000058	562.863092755	-0.488918653888	562.863092755	0.17	0.26	0.57	0.60516523738	0.145978398677	0.248856363944	-0.19753804533	470.234990089	0.899565826136	470.234990089	-463.56404009	470.234990089	-0.320397396707	470.234990089	-0.299458904651	470.234990089	0.3516018634	470.234990089	-0.875680470409	470.234990089	-0.575122178525	470.234990089	0.21	0.35	0.44	0.488531924529	0.217074424994	0.294393650477	0.227411788719	606.541983775	-1.08978487358	606.541983775	0.517588581152	606.541983775	-1.07636697154	606.541983775	0.104375556845	606.541983775	0.186059016557	606.541983775	0.432527504785	606.541983775	-0.463590824746	606.541983775	0.22	0.22	0.56
